#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Angle
11.0 11.175 -3.0 -2.85 -2.5 -2.4 2.09335447209
11.0 11.175 -3.0 -2.85 -2.4 -2.3 2.31336016309
11.0 11.175 -3.0 -2.85 -2.3 -2.2 2.77977628856
11.0 11.175 -3.0 -2.85 -2.2 -2.1 2.88185991179
11.0 11.175 -3.0 -2.85 -2.1 -2.0 3.27749796694
11.0 11.175 -3.0 -2.85 -2.0 -1.9 3.59005540467
11.0 11.175 -3.0 -2.85 -1.9 -1.8 4.01140111291
11.0 11.175 -3.0 -2.85 -1.8 -1.7 4.47664511557
11.0 11.175 -3.0 -2.85 -1.7 -1.6 4.91939986921
11.0 11.175 -3.0 -2.85 -1.6 -1.5 5.44245713221
11.0 11.175 -3.0 -2.85 -1.5 -1.4 6.12629696359
11.0 11.175 -3.0 -2.85 -1.4 -1.3 6.92351621579
11.0 11.175 -3.0 -2.85 -1.3 -1.2 7.85734545788
11.0 11.175 -3.0 -2.85 -1.2 -1.1 9.47498525284
11.0 11.175 -3.0 -2.85 -1.1 -1.0 10.2154838604
11.0 11.175 -3.0 -2.85 -1.0 -0.9 10.9438043456
11.0 11.175 -3.0 -2.85 -0.9 -0.8 12.6732678052
11.0 11.175 -3.0 -2.85 -0.8 -0.7 13.0833173515
11.0 11.175 -3.0 -2.85 -0.7 -0.6 19.2963168494
11.0 11.175 -3.0 -2.85 -0.6 -0.5 16.6531836669
11.0 11.175 -2.85 -2.7 -2.5 -2.4 2.12820382688
11.0 11.175 -2.85 -2.7 -2.4 -2.3 2.35344868663
11.0 11.175 -2.85 -2.7 -2.3 -2.2 2.80749030151
11.0 11.175 -2.85 -2.7 -2.2 -2.1 2.91811558072
11.0 11.175 -2.85 -2.7 -2.1 -2.0 3.29689995998
11.0 11.175 -2.85 -2.7 -2.0 -1.9 3.64547660605
11.0 11.175 -2.85 -2.7 -1.9 -1.8 4.05800845197
11.0 11.175 -2.85 -2.7 -1.8 -1.7 4.56499112017
11.0 11.175 -2.85 -2.7 -1.7 -1.6 4.96710229287
11.0 11.175 -2.85 -2.7 -1.6 -1.5 5.44803579604
11.0 11.175 -2.85 -2.7 -1.5 -1.4 5.914410429
11.0 11.175 -2.85 -2.7 -1.4 -1.3 6.87114459636
11.0 11.175 -2.85 -2.7 -1.3 -1.2 8.0672239274
11.0 11.175 -2.85 -2.7 -1.2 -1.1 9.59520831647
11.0 11.175 -2.85 -2.7 -1.1 -1.0 9.93040673712
11.0 11.175 -2.85 -2.7 -1.0 -0.9 12.5441358284
11.0 11.175 -2.85 -2.7 -0.9 -0.8 13.1358893582
11.0 11.175 -2.85 -2.7 -0.8 -0.7 12.2436810507
11.0 11.175 -2.85 -2.7 -0.7 -0.6 6.79485124282
11.0 11.175 -2.85 -2.7 -0.6 -0.5 11.1410563932
11.0 11.175 -2.7 -2.55 -2.5 -2.4 2.16061754667
11.0 11.175 -2.7 -2.55 -2.4 -2.3 2.33860057429
11.0 11.175 -2.7 -2.55 -2.3 -2.2 2.7623421876
