#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Angle
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Angle
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -2.5 -2.08333333333 54.4350230263
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -2.08333333333 -1.66666666667 38.5603194978
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -1.66666666667 -1.25 15.6692070831
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -1.25 -0.833333333333 6.29156147938
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -0.833333333333 -0.416666666667 2.74564329025
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -0.416666666667 0.0 1.50996761449
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.0 0.416666666667 1.20089912015
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.416666666667 0.833333333333 1.0049558772
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -2.5 -2.08333333333 85.1103545024
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -2.08333333333 -1.66666666667 21.9143612348
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -1.66666666667 -1.25 20.107445475
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -1.25 -0.833333333333 7.92463041257
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -0.833333333333 -0.416666666667 3.52175824377
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -0.416666666667 0.0 1.92079615428
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.0 0.416666666667 1.5566850093
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.416666666667 0.833333333333 1.36687094425
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -2.5 -2.08333333333 43.7137327026
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -2.08333333333 -1.66666666667 50.8616493083
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -1.66666666667 -1.25 20.8893364044
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -1.25 -0.833333333333 8.83738285712
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -0.833333333333 -0.416666666667 3.92736981357
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -0.416666666667 0.0 2.185646784
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.0 0.416666666667 1.75536038963
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.416666666667 0.833333333333 1.44753619345
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -2.5 -2.08333333333 48.2903453472
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -2.08333333333 -1.66666666667 56.498457862
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -1.66666666667 -1.25 24.2152653666
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -1.25 -0.833333333333 10.3743832309
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -0.833333333333 -0.416666666667 4.63095348582
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -0.416666666667 0.0 2.59566756761
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 0.0 0.416666666667 2.0778786774
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 0.416666666667 0.833333333333 1.61161782235
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -2.5 -2.08333333333 99.1229936317
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -2.08333333333 -1.66666666667 58.0560904169
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -1.66666666667 -1.25 29.6341487163
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -1.25 -0.833333333333 12.1147151269
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.833333333333 -0.416666666667 5.4804029177
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 -0.416666666667 0.0 3.07841143559
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.0 0.416666666667 2.47590661289
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.416666666667 0.833333333333 1.94818822468
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -1.83333333333 -1.66666666667 2.08333333333 2.5 -99.0
