#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	Dir
11.0 11.175 -3.0 -2.85 -2.5 -2.4 97.2006490804
11.0 11.175 -3.0 -2.85 -2.4 -2.3 97.0563344153
11.0 11.175 -3.0 -2.85 -2.3 -2.2 96.7425898563
11.0 11.175 -3.0 -2.85 -2.2 -2.1 97.6870653979
11.0 11.175 -3.0 -2.85 -2.1 -2.0 98.2034205605
11.0 11.175 -3.0 -2.85 -2.0 -1.9 98.5672972302
11.0 11.175 -3.0 -2.85 -1.9 -1.8 97.8767311942
11.0 11.175 -3.0 -2.85 -1.8 -1.7 95.5972925739
11.0 11.175 -3.0 -2.85 -1.7 -1.6 94.5263392395
11.0 11.175 -3.0 -2.85 -1.6 -1.5 91.0526031425
11.0 11.175 -3.0 -2.85 -1.5 -1.4 90.6381341197
11.0 11.175 -3.0 -2.85 -1.4 -1.3 87.6186014396
11.0 11.175 -3.0 -2.85 -1.3 -1.2 86.3463710436
11.0 11.175 -3.0 -2.85 -1.2 -1.1 86.6318608484
11.0 11.175 -3.0 -2.85 -1.1 -1.0 84.7385987737
11.0 11.175 -3.0 -2.85 -1.0 -0.9 81.1183494837
11.0 11.175 -3.0 -2.85 -0.9 -0.8 87.9107522835
11.0 11.175 -3.0 -2.85 -0.8 -0.7 93.1822766304
11.0 11.175 -3.0 -2.85 -0.7 -0.6 116.725479304
11.0 11.175 -3.0 -2.85 -0.6 -0.5 117.881961306
11.0 11.175 -2.85 -2.7 -2.5 -2.4 97.7955931259
11.0 11.175 -2.85 -2.7 -2.4 -2.3 97.5403940704
11.0 11.175 -2.85 -2.7 -2.3 -2.2 96.2605636798
11.0 11.175 -2.85 -2.7 -2.2 -2.1 97.8155914501
11.0 11.175 -2.85 -2.7 -2.1 -2.0 98.4129227191
11.0 11.175 -2.85 -2.7 -2.0 -1.9 98.5137399591
11.0 11.175 -2.85 -2.7 -1.9 -1.8 98.4622574435
11.0 11.175 -2.85 -2.7 -1.8 -1.7 96.1341202182
11.0 11.175 -2.85 -2.7 -1.7 -1.6 94.6374658214
11.0 11.175 -2.85 -2.7 -1.6 -1.5 93.1894864064
11.0 11.175 -2.85 -2.7 -1.5 -1.4 91.1163475472
11.0 11.175 -2.85 -2.7 -1.4 -1.3 89.7234531084
11.0 11.175 -2.85 -2.7 -1.3 -1.2 85.9859009184
11.0 11.175 -2.85 -2.7 -1.2 -1.1 83.8966373672
11.0 11.175 -2.85 -2.7 -1.1 -1.0 79.5626749062
11.0 11.175 -2.85 -2.7 -1.0 -0.9 82.1334082187
11.0 11.175 -2.85 -2.7 -0.9 -0.8 77.461433896
11.0 11.175 -2.85 -2.7 -0.8 -0.7 93.2583686017
11.0 11.175 -2.85 -2.7 -0.7 -0.6 78.4809156235
11.0 11.175 -2.85 -2.7 -0.6 -0.5 59.1220907492
11.0 11.175 -2.7 -2.55 -2.5 -2.4 97.5645785027
11.0 11.175 -2.7 -2.55 -2.4 -2.3 97.382867453
11.0 11.175 -2.7 -2.55 -2.3 -2.2 96.5937445473
11.0 11.175 -2.7 -2.55 -2.2 -2.1 97.0611994381
11.0 11.175 -2.7 -2.55 -2.1 -2.0 98.5431870648
11.0 11.175 -2.7 -2.55 -2.0 -1.9 98.727262504
11.0 11.175 -2.7 -2.55 -1.9 -1.8 97.8045910164
11.0 11.175 -2.7 -2.55 -1.8 -1.7 95.473530145
11.0 11.175 -2.7 -2.55 -1.7 -1.6 93.9287789754
11.0 11.175 -2.7 -2.55 -1.6 -1.5 90.8210057306
11.0 11.175 -2.7 -2.55 -1.5 -1.4 88.4025491252
11.0 11.175 -2.7 -2.55 -1.4 -1.3 86.5989472653
11.0 11.175 -2.7 -2.55 -1.3 -1.2 87.1929035898
11.0 11.175 -2.7 -2.55 -1.2 -1.1 86.4776404094
11.0 11.175 -2.7 -2.55 -1.1 -1.0 83.1733836439
11.0 11.175 -2.7 -2.55 -1.0 -0.9 85.9964584483
11.0 11.175 -2.7 -2.55 -0.9 -0.8 87.8721965976
11.0 11.175 -2.7 -2.55 -0.8 -0.7 91.6913109838
11.0 11.175 -2.7 -2.55 -0.7 -0.6 99.379339564
11.0 11.175 -2.7 -2.55 -0.6 -0.5 96.1062915895
11.0 11.175 -2.55 -2.4 -2.5 -2.4 97.5926303252
11.0 11.175 -2.55 -2.4 -2.4 -2.3 97.3532962286
11.0 11.175 -2.55 -2.4 -2.3 -2.2 95.204070549
11.0 11.175 -2.55 -2.4 -2.2 -2.1 97.4208946687
11.0 11.175 -2.55 -2.4 -2.1 -2.0 97.9891384034
11.0 11.175 -2.55 -2.4 -2.0 -1.9 98.601149151
11.0 11.175 -2.55 -2.4 -1.9 -1.8 98.2853564919
11.0 11.175 -2.55 -2.4 -1.8 -1.7 96.0651464524
11.0 11.175 -2.55 -2.4 -1.7 -1.6 94.4896667913
11.0 11.175 -2.55 -2.4 -1.6 -1.5 91.3908876306
11.0 11.175 -2.55 -2.4 -1.5 -1.4 89.4491999821
11.0 11.175 -2.55 -2.4 -1.4 -1.3 88.3564223738
11.0 11.175 -2.55 -2.4 -1.3 -1.2 85.0416190551
11.0 11.175 -2.55 -2.4 -1.2 -1.1 86.0373210668
11.0 11.175 -2.55 -2.4 -1.1 -1.0 82.9729411994
11.0 11.175 -2.55 -2.4 -1.0 -0.9 82.366947668
11.0 11.175 -2.55 -2.4 -0.9 -0.8 82.3632763756
11.0 11.175 -2.55 -2.4 -0.8 -0.7 92.9572687742
11.0 11.175 -2.55 -2.4 -0.7 -0.6 71.6760464419
11.0 11.175 -2.55 -2.4 -0.6 -0.5 92.1099605024
11.0 11.175 -2.4 -2.25 -2.5 -2.4 96.8634414546
11.0 11.175 -2.4 -2.25 -2.4 -2.3 96.1334781046
11.0 11.175 -2.4 -2.25 -2.3 -2.2 94.5174919917
11.0 11.175 -2.4 -2.25 -2.2 -2.1 96.1319462417
11.0 11.175 -2.4 -2.25 -2.1 -2.0 97.9433038015
11.0 11.175 -2.4 -2.25 -2.0 -1.9 98.0834204439
11.0 11.175 -2.4 -2.25 -1.9 -1.8 97.6447213421
11.0 11.175 -2.4 -2.25 -1.8 -1.7 95.1909148584
11.0 11.175 -2.4 -2.25 -1.7 -1.6 93.1581765242
11.0 11.175 -2.4 -2.25 -1.6 -1.5 90.9508820178
11.0 11.175 -2.4 -2.25 -1.5 -1.4 89.1650330482
11.0 11.175 -2.4 -2.25 -1.4 -1.3 87.6490397121
11.0 11.175 -2.4 -2.25 -1.3 -1.2 86.7325949497
11.0 11.175 -2.4 -2.25 -1.2 -1.1 84.9088793788
11.0 11.175 -2.4 -2.25 -1.1 -1.0 85.0345584875
11.0 11.175 -2.4 -2.25 -1.0 -0.9 83.9678692562
11.0 11.175 -2.4 -2.25 -0.9 -0.8 87.2393332145
11.0 11.175 -2.4 -2.25 -0.8 -0.7 90.3176061403
11.0 11.175 -2.4 -2.25 -0.7 -0.6 108.0007985
11.0 11.175 -2.4 -2.25 -0.6 -0.5 112.880786483
11.0 11.175 -2.25 -2.1 -2.5 -2.4 95.8018367259
11.0 11.175 -2.25 -2.1 -2.4 -2.3 94.8778223033
11.0 11.175 -2.25 -2.1 -2.3 -2.2 93.8283659415
11.0 11.175 -2.25 -2.1 -2.2 -2.1 94.9071133093
11.0 11.175 -2.25 -2.1 -2.1 -2.0 96.202982334
11.0 11.175 -2.25 -2.1 -2.0 -1.9 97.0995310219
11.0 11.175 -2.25 -2.1 -1.9 -1.8 96.8401663033
11.0 11.175 -2.25 -2.1 -1.8 -1.7 95.3389467449
11.0 11.175 -2.25 -2.1 -1.7 -1.6 93.3329181575
11.0 11.175 -2.25 -2.1 -1.6 -1.5 90.7784212276
11.0 11.175 -2.25 -2.1 -1.5 -1.4 88.6603145282
11.0 11.175 -2.25 -2.1 -1.4 -1.3 87.8790815203
11.0 11.175 -2.25 -2.1 -1.3 -1.2 86.1009994838
11.0 11.175 -2.25 -2.1 -1.2 -1.1 84.572467398
11.0 11.175 -2.25 -2.1 -1.1 -1.0 85.2112740729
11.0 11.175 -2.25 -2.1 -1.0 -0.9 87.7878210328
11.0 11.175 -2.25 -2.1 -0.9 -0.8 86.9245649485
11.0 11.175 -2.25 -2.1 -0.8 -0.7 94.3999929528
11.0 11.175 -2.25 -2.1 -0.7 -0.6 114.122573388
11.0 11.175 -2.25 -2.1 -0.6 -0.5 124.663175566
11.0 11.175 -2.1 -1.95 -2.5 -2.4 93.2497796499
11.0 11.175 -2.1 -1.95 -2.4 -2.3 90.9849282367
11.0 11.175 -2.1 -1.95 -2.3 -2.2 90.9907519591
11.0 11.175 -2.1 -1.95 -2.2 -2.1 92.6892278284
11.0 11.175 -2.1 -1.95 -2.1 -2.0 93.8141434262
11.0 11.175 -2.1 -1.95 -2.0 -1.9 95.4104465367
11.0 11.175 -2.1 -1.95 -1.9 -1.8 95.3184606122
11.0 11.175 -2.1 -1.95 -1.8 -1.7 94.093060952
11.0 11.175 -2.1 -1.95 -1.7 -1.6 92.7185951152
11.0 11.175 -2.1 -1.95 -1.6 -1.5 90.70741405
11.0 11.175 -2.1 -1.95 -1.5 -1.4 88.3500093278
11.0 11.175 -2.1 -1.95 -1.4 -1.3 88.117400699
11.0 11.175 -2.1 -1.95 -1.3 -1.2 85.3888491782
11.0 11.175 -2.1 -1.95 -1.2 -1.1 85.1307441065
11.0 11.175 -2.1 -1.95 -1.1 -1.0 84.5438530556
