#(1) log(M_min) log of the minimum halo mass of the selection in logscale (in units of Msol/h)
#(2) log(M_max) log of the maximum halo mass of the selection in logscale (in units of Msol/h)
#(3) log(dM_min) log of the minimum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(4) log(dM_max) log of the maximum change of halo mass of the selection in logscale (calculated as (M1-M2)/M1)
#(5) log(dz_min) log of the minimum change of redshift of the selection in logscale (calculated as z1-z2)
#(6) log(dz_max) log of the maximum change of redshift of the selection in logscale (calculated as z1-z2)
#(7) log(j_min) log of the minimum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(8) log(j_max) log of the maximum specific angular momentum of the selection in logscale (in physical units, Mpc/h * km/s)
#(9) Dir
#log(M_min)	log(M_max)	log(dM_min)	log(dM_max)	log(dz_min)	log(dz_max)	log(j_min)	log(j_max)	Dir
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -2.5 -2.08333333333 90.862877089
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -2.08333333333 -1.66666666667 96.1202762914
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -1.66666666667 -1.25 96.9298752915
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -1.25 -0.833333333333 98.1945016106
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -0.833333333333 -0.416666666667 97.4114605182
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 -0.416666666667 0.0 96.1639619637
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.0 0.416666666667 93.6051423933
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.416666666667 0.833333333333 90.6607612912
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.5 -2.33333333333 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -2.5 -2.08333333333 138.658010428
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -2.08333333333 -1.66666666667 68.7818102396
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -1.66666666667 -1.25 94.3519920698
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -1.25 -0.833333333333 98.3042840952
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -0.833333333333 -0.416666666667 96.8378668439
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 -0.416666666667 0.0 95.6345727021
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.0 0.416666666667 91.9007100399
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.416666666667 0.833333333333 87.4170975102
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.33333333333 -2.16666666667 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -2.5 -2.08333333333 86.9955657862
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -2.08333333333 -1.66666666667 106.344414411
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -1.66666666667 -1.25 98.0045560394
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -1.25 -0.833333333333 98.5623822995
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -0.833333333333 -0.416666666667 97.9433324059
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 -0.416666666667 0.0 95.8645846721
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.0 0.416666666667 93.5731368247
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.416666666667 0.833333333333 98.7117748605
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 0.833333333333 1.25 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 1.25 1.66666666667 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 1.66666666667 2.08333333333 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.16666666667 -2.0 2.08333333333 2.5 -99.0
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -2.5 -2.08333333333 133.471991907
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -2.08333333333 -1.66666666667 103.839806744
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -1.66666666667 -1.25 99.4545811965
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -1.25 -0.833333333333 98.6173007261
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -0.833333333333 -0.416666666667 98.3207620001
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 -0.416666666667 0.0 95.9720996525
11.0 11.2916666667 -3.0 -2.75 -2.0 -1.83333333333 0.0 0.416666666667 94.4759859398
